Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","2016","2016","ha","34214"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","2017","2017","ha","33328"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","2018","2018","ha","33229"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","2019","2019","ha","32405"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","515","Apples","2020","2020","ha","32468"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","1961","1961","hg/ha","95193"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","1962","1962","hg/ha","96211"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","1963","1963","hg/ha","100004"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","1964","1964","hg/ha","93166"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","1965","1965","hg/ha","170046"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","1966","1966","hg/ha","99071"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","1967","1967","hg/ha","102757"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","1968","1968","hg/ha","103370"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","1969","1969","hg/ha","104202"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","1970","1970","hg/ha","107118"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","1971","1971","hg/ha","102676"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","1972","1972","hg/ha","99669"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","1973","1973","hg/ha","58887"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","1974","1974","hg/ha","61827"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","1975","1975","hg/ha","66742"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","1976","1976","hg/ha","70627"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","1977","1977","hg/ha","69961"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","1978","1978","hg/ha","72056"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","1979","1979","hg/ha","81446"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","515","Apples","1980","1980","hg/ha","79837"
